Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-12-28,171.0,171.85,170.48,171.08,16480187.0,0.0,1.0,41.00611776167474,41.20994934119183,40.88142079538192,41.02530191033517,65920748.0
2017-12-27,170.1,170.78,169.71,170.6,21498213.0,0.0,1.0,40.79029608924487,40.95336135285854,40.696773364525264,40.91019701837257,85992852.0
2017-12-26,170.8,171.47,169.679,170.57,33185536.0,0.0,1.0,40.95815739002366,41.11882463505478,40.689339506919346,40.90300296262491,132742144.0
2017-12-22,174.68,175.424,174.5,175.01,16349444.0,0.0,1.0,41.88858860005464,42.06700118259666,41.84542426556866,41.967723213278916,65397776.0
2017-12-21,174.17,176.02,174.1,175.01,20949896.0,0.0,1.0,41.766289652344376,42.20992309011689,41.7495035222665,41.967723213278916,83799584.0
2017-12-20,174.87,175.42,173.25,174.35,23475649.0,0.0,1.0,41.934150953123165,42.066041975163635,41.5456719427494,41.80945398683035,93902596.0
2017-12-19,175.03,175.39,174.09,174.54,27436447.0,0.0,1.0,41.97251925044403,42.058847919415975,41.74710550368395,41.855016339898874,109745788.0
2017-12-18,174.88,177.2,174.86,176.42,29421114.0,0.0,1.0,41.93654897170572,42.492889282858265,41.93175293454061,42.30584383341904,117684456.0
2017-12-15,173.63,174.17,172.46,173.97,40169307.0,0.0,1.0,41.63679664888646,41.766289652344376,41.35622847472764,41.7183292806933,160677228.0
2017-12-14,172.4,173.13,171.65,172.22,20476541.0,0.0,1.0,41.34184036323231,41.51689571975875,41.16198896954075,41.298676028746335,81906164.0
2017-12-13,172.5,173.54,172.0,172.27,23818447.0,0.0,1.0,41.36582054905785,41.61521448164347,41.24591961993014,41.310666121659104,95273788.0
2017-12-12,172.15,172.39,171.461,171.7,19409230.0,0.0,1.0,41.28188989866845,41.33944234464975,41.11666641833048,41.17397906245352,77636920.0
2017-12-11,169.2,172.89,168.79,172.67,35273759.0,0.0,1.0,40.574474416815,41.459343273777456,40.47615565493028,41.40658686496126,141095036.0
2017-12-08,170.49,171.0,168.82,169.37,23355231.0,0.0,1.0,40.88381881396448,41.00611776167474,40.48334971067794,40.61524073271842,93420924.0
2017-12-07,169.03,170.44,168.91,169.32,25673308.0,0.0,1.0,40.53370810091158,40.871828721051706,40.50493187792093,40.60325063980565,102693232.0
2017-12-06,167.5,170.2047,166.46,169.01,28560000.0,0.0,1.0,40.16681125778081,40.81540334380421,39.91741732519519,40.528912063746475,114240000.0
2017-12-05,169.06,171.52,168.4,169.64,27350154.0,0.0,1.0,40.54090215665924,41.130814727967554,40.382632930210676,40.67998723444738,109400616.0
2017-12-04,172.48,172.62,169.63,169.8,32542385.0,0.0,1.0,41.36102451189274,41.394596772048494,40.67758921586483,40.718355531768246,130169540.0
2017-12-01,169.95,171.67,168.5,171.05,39759288.0,0.0,1.0,40.75432581050656,41.16678500670586,40.40661311603622,41.01810785458751,159037152.0
2017-11-30,170.43,172.14,168.44,171.85,41527218.0,0.0,1.0,40.86943070246915,41.2794918800859,40.39222500454089,41.20994934119183,166108872.0
2017-11-29,172.63,172.92,167.16,169.48,41666364.0,0.0,1.0,41.39699479063105,41.46653732952512,40.08527862597397,40.641618937126516,166665456.0
2017-11-28,174.3,174.87,171.86,173.07,26428802.0,0.0,1.0,41.79746389391759,41.934150953123165,41.21234735977439,41.50250760826343,105715208.0
2017-11-27,175.05,175.08,173.34,174.09,20716802.0,0.0,1.0,41.97731528760914,41.984509343356805,41.56725410999239,41.74710550368395,82867208.0
2017-11-24,175.1,175.5,174.6459,174.97,14026673.0,0.0,1.0,41.989305380521905,42.08522612382407,41.88041135668813,41.9581311389487,56106692.0
2017-11-22,173.36,175.0,173.05,174.96,25588925.0,0.0,1.0,41.572050147157505,41.96532519469637,41.49771157109832,41.955733120366155,102355700.0
2017-11-21,170.78,173.7,170.78,173.14,25131295.0,0.0,1.0,40.95336135285854,41.653582778964335,40.95336135285854,41.519293738341304,100525180.0
2017-11-20,170.29,170.56,169.56,169.98,16262447.0,0.0,1.0,40.835858442313395,40.90060494404236,40.66080308578695,40.76151986625422,65049788.0
2017-11-17,171.04,171.39,169.64,170.15,21899544.0,0.0,1.0,41.01570983600495,41.09964048639434,40.67998723444738,40.802286182157644,87598176.0
2017-11-16,171.18,171.87,170.3,171.1,23637484.0,0.0,1.0,41.04928209616071,41.214745378356945,40.838256460895956,41.03009794750027,94549936.0
2017-11-15,169.97,170.3197,168.38,169.08,29158070.0,0.0,1.0,40.759121847671665,40.84298055750359,40.37783689304557,40.54569819382436,116632280.0
2017-11-14,173.04,173.48,171.18,171.34,24782487.0,0.0,1.0,41.49531355251577,41.60082637014815,41.04928209616071,41.087650393481574,99129948.0
2017-11-13,173.5,174.5,173.4,173.97,16982080.0,0.0,1.0,41.605622407313255,41.84542426556866,41.58164222148772,41.7183292806933,67928320.0
2017-11-10,175.11,175.38,174.27,174.67,25145500.0,0.63,1.0,41.991703399104466,42.05644990083342,41.79026983816992,41.88619058147208,100582000.0
2017-11-09,175.11,176.095,173.14,175.88,29185668.0,0.0,1.0,41.840791972171004,42.076147920389765,41.37008007573346,42.024775809864856,116742672.0
2017-11-08,174.66,176.24,174.33,176.24,23907639.0,0.0,1.0,41.73326895014212,42.110794227487965,41.65441873398761,42.110794227487965,95630556.0
2017-11-07,173.91,175.25,173.6,174.81,24361485.0,0.0,1.0,41.55406391342732,41.87424357902443,41.479992498251875,41.76910995748508,97445940.0
2017-11-06,172.365,174.99,171.72,174.25,35026306.0,0.0,1.0,41.18490153779484,41.81211916629663,41.03078520622011,41.63530353007136,140105224.0
2017-11-03,174.0,174.26,171.12,172.5,59398631.0,0.0,1.0,41.5755685178331,41.637692930560895,40.88742117684828,41.2171584444035,237594524.0
2017-11-02,167.64,168.5,165.28,168.11,41393373.0,0.0,1.0,40.05590980649161,40.26139824859125,39.49201129096238,40.16821162949955,165573492.0
2017-11-01,169.87,169.94,165.61,166.89,33637762.0,0.0,1.0,40.588746115656946,40.60547191908366,39.570861507116895,39.876704769776815,134551048.0
2017-10-31,167.9,169.6499,166.94,169.04,36046828.0,0.0,1.0,40.11803421921941,40.53615541088237,39.88865177222447,40.3904258750259,144187312.0
2017-10-30,163.89,168.07,163.72,166.72,44700772.0,0.0,1.0,39.15988462291762,40.15865402754143,39.1192648145956,39.836084961454794,178803088.0
2017-10-27,159.29,163.6,158.7,163.05,44454160.0,0.0,1.0,38.06076039773353,39.09059200872123,37.91978576885122,38.959174981797055,177816640.0
2017-10-26,157.23,157.8295,156.78,157.41,17000469.0,0.0,1.0,37.56854389689022,37.71178845623758,37.46102087486134,37.611553105701766,68001876.0
2017-10-25,156.91,157.55,155.27,156.41,21207098.0,0.0,1.0,37.49208308122524,37.6450047125552,37.10022140094222,37.372613056748705,84828392.0
2017-10-24,156.29,157.42,156.2,157.1,17757230.0,0.0,1.0,37.34394025087434,37.6139425061913,37.32243564646856,37.53748169052632,71028920.0
2017-10-23,156.89,157.69,155.5,156.17,21984327.0,0.0,1.0,37.48730428024617,37.678456319408625,37.15517761220142,37.31526744499997,87937308.0
2017-10-20,156.61,157.75,155.96,156.25,23974146.0,0.0,1.0,37.42040106653932,37.692792722345814,37.265090034719826,37.33438264891622,95896584.0
2017-10-19,156.75,157.08,155.02,155.98,42584166.0,0.0,1.0,37.453852673392745,37.53270288954726,37.04048638870395,37.26986883569889,170336664.0
2017-10-18,160.42,160.71,159.6,159.76,16374164.0,0.0,1.0,38.33076265305049,38.400055267246884,38.13483181290898,38.17306222074147,65496656.0
2017-10-17,159.78,160.87,159.23,160.47,18997275.0,0.0,1.0,38.17784102172053,38.43828567507937,38.04642399479634,38.34270965549815,75989100.0
