Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-12-28,153.2,154.12,153.2,154.04,2686989.0,0.0,1.0,129.68878379273372,130.46759372151516,129.68878379273372,130.3998711190124,2686989.0
2017-12-27,152.95,153.18,152.61,153.13,2149257.0,0.0,1.0,129.47715065991267,129.67185314210803,129.18932959927608,129.62952651554383,2149257.0
2017-12-26,152.51,153.86,152.5,152.83,2479017.0,0.0,1.0,129.10467634614764,130.24749526338127,129.0962110208348,129.37556675615858,2479017.0
2017-12-22,151.71,153.0,151.5,152.5,2987583.0,0.0,1.0,128.42745032112032,129.51947728647687,128.24967848955063,129.0962110208348,2987583.0
2017-12-21,153.17,153.46,151.49,151.5,4153665.0,0.0,1.0,129.66338781679517,129.9088822508676,128.2412131642378,128.24967848955063,4153665.0
2017-12-20,153.65,153.89,152.78,152.95,3784667.0,0.0,1.0,130.06972343181158,130.27289123931976,129.33324012959437,129.47715065991267,3784667.0
2017-12-19,154.135,154.17,153.09,153.23,4116349.0,0.0,1.0,130.4802917094844,130.50992034807933,129.59566521429247,129.71417976867224,4116349.0
2017-12-18,153.41,154.18,153.21,153.33,5089638.0,0.0,1.0,129.86655562430337,130.5183856733922,129.69724911804656,129.79883302180068,5089638.0
2017-12-15,153.75,153.8,152.03,152.5,11279624.0,0.0,1.0,130.15437668494,130.19670331150422,128.69834073113125,129.0962110208348,11279624.0
2017-12-14,154.5,155.11,153.7,154.0,4636805.0,0.0,1.0,130.78927608340314,131.30566092748649,130.1120500583758,130.36600981776104,4636805.0
2017-12-13,156.6,156.73,153.89,153.91,5660838.0,0.0,1.0,132.56699439909985,132.67704362816679,130.27289123931976,130.28982188994547,5660838.0
2017-12-12,155.2,157.85,155.16,156.74,6321529.0,0.0,1.0,131.38184885530202,133.62516006320507,131.34798755405066,132.68550895347965,6321529.0
2017-12-11,154.97,155.89,154.57,155.41,4102719.0,0.0,1.0,131.18714637310669,131.9659563018881,130.84853336059302,131.5596206868717,4102719.0
